compound,agl_thermal_conductivity_300K,natoms,agl_bulk_modulus_static_300K,ael_poisson_ratio,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_thermal_expansion_300K,density,Egap,Bravais_lattice_lattice_type,ael_speed_sound_average
O3Sn1Sr1,8.68576,5,123.381,0.250559,485.145,2.34861,13.7134,4.94012e-05,5.83693,0.3313,CUB,4081.44
Nb8O10,8.71805,18,235.158,0.287429,593.973,2.02358,45.4622,2.4435e-05,6.85676,0.0,TET,4454.53
O8P2Y2,8.73884,12,177.315,0.300509,636.977,2.01433,29.6193,3.10338e-05,4.12799,5.7982,BCT,4225.6
Al4O12Y4,8.78906,20,192.898,0.254463,699.102,1.96509,47.2784,3.12063e-05,5.19488,5.5421,ORC,5086.4
Bi1O3Sc1,8.83105,5,135.508,0.289305,419.021,2.04696,14.0081,4.16155e-05,7.20987,0.6582,CUB,3419.62
Ca4Nb4O14,8.92748,22,171.41,0.23249,705.0,2.03167,51.7565,2.85335e-05,4.29127,1.7677,FCC,5091.05
Mg2O12Ta4,8.94536,18,221.576,0.264503,588.129,2.02399,45.6922,2.67687e-05,7.50559,3.0629,TET,3954.87
Gd2O2Se1,8.95983,5,108.116,0.265704,352.033,1.95327,14.3595,3.87048e-05,7.67193,1.9866,HEX,3011.31
Ir2O4,8.97785,6,258.026,0.325429,451.093,2.25938,16.4768,3.0181e-05,11.3483,0.0,TET,3304.5
Al8O20Si4,8.99218,32,185.652,0.24368,898.82,1.92413,64.4979,2.57078e-05,3.05912,4.8388,ORC,5911.45
O4S2Sc4,9.06028,10,135.545,0.287654,588.944,1.92838,25.4568,3.44975e-05,3.57596,2.4796,HEX,4716.89
Al4Co2O8,9.26437,14,185.33,0.287198,712.059,1.92815,32.8338,3.3788e-05,4.28096,3.9638,FCC,5124.17
Ca1O3Sn1,9.29177,5,129.015,0.270728,520.868,2.27409,13.4032,4.60319e-05,4.8952,0.6888,CUB,4306.76
O12Os4Rb2,9.32515,18,151.303,0.229736,513.9,1.83703,47.6494,2.92219e-05,6.87568,0.0,FCC,3638.5
Li2O8V4,9.36476,14,173.557,0.265961,743.263,2.03392,32.1628,3.48533e-05,3.91664,0.0,FCC,4760.23
La1Mn1O3,9.48942,5,158.135,0.285947,496.996,2.22567,13.5245,4.1707e-05,6.45258,0.0,CUB,3909.14
O8Sb2V2,9.59146,12,184.571,0.245302,647.19,2.19186,29.5337,3.45697e-05,5.69746,0.2038,BCT,4675.34
Cr2O4,9.66821,6,187.317,0.2774,701.352,2.52754,14.3792,4.37729e-05,4.65182,0.0,TET,5154.96
Mg4O8,9.78385,12,129.836,0.230716,783.681,1.9666,26.8705,4.65084e-05,3.18346,3.7333,CUB,5628.97
O3Pb1Zr1,9.84373,5,149.057,0.28833,416.941,2.08209,13.9779,3.58866e-05,7.71287,2.2831,CUB,3452.06
O8Ru4,9.89981,12,263.141,0.280001,654.835,2.26257,29.287,2.91471e-05,7.4995,0.0,CUB,4699.48
Fe1O1,9.91425,2,171.444,0.366897,450.864,2.13521,5.54863,4.67375e-05,5.91316,0.0,FCC,3279.66
Mg6Mn1O8,9.91502,15,142.438,0.202998,810.063,2.06076,32.8671,4.2039e-05,3.58296,2.2626,FCC,5801.45
O2Sr1,9.91837,3,84.307,0.251149,448.116,2.07256,8.42335,6.47822e-05,4.57458,2.8184,BCT,3422.44
Al2O6Y2,9.92536,10,165.987,0.288037,613.087,1.95989,25.068,3.33154e-05,4.50072,3.5012,HEX,4707.14
Li4O10Si4,10.0766,18,139.91,0.239721,876.304,1.94264,37.1231,3.2876e-05,2.35638,5.1672,ORCC,4987.23
Hf2O6Sr2,10.0884,10,159.92,0.237444,504.09,2.0447,26.7381,3.36091e-05,7.5111,4.0765,BCT,3954.2
Bi1Ga1O3,10.1276,5,165.596,0.27739,446.933,2.12474,13.8439,4.11988e-05,9.24355,1.2959,CUB,3474.21
O3Rb1U1,10.1735,5,126.845,0.276989,391.977,1.98516,14.1076,3.55324e-05,7.22327,2.9093,CUB,3386.84
O6Sr2Zr2,10.1876,10,149.644,0.247789,563.091,2.05282,25.8846,3.37122e-05,5.24499,3.58,BCT,4465.8
O4Os2,10.2115,6,270.018,0.325263,464.095,2.20818,16.336,2.76951e-05,11.1687,0.0,TET,3425.1
Mg4O8Si2,10.325,14,153.173,0.255885,794.176,1.9489,30.8982,3.51345e-05,3.09028,4.5912,HEX,5061.55
K1O3U1,10.4189,5,127.492,0.287516,408.067,1.94634,14.0034,3.50476e-05,6.44557,3.0113,CUB,3508.15
Ba1Nb7O9,10.4578,17,208.417,0.244643,600.967,2.03148,42.7573,2.5238e-05,6.85988,0.0,TET,4640.78
Mg2O2,10.5539,4,110.111,0.317945,585.874,1.90189,10.2924,4.93564e-05,2.74163,3.3614,HEX,4515.88
Gd1O1,10.6193,2,97.0255,0.314818,294.045,1.89963,5.86216,4.03636e-05,7.35262,0.0,FCC,2670.09
Hf1O3Pb1,10.6517,5,160.132,0.275017,397.035,2.06793,14.0847,3.47602e-05,10.0371,2.4164,CUB,3230.26
Hf2O8Si2,10.9772,12,227.385,0.288187,603.116,1.9727,30.1628,2.71111e-05,6.81658,5.2995,BCT,4346.04
Fe1O2Sr1,11.087,4,100.648,0.257344,461.079,1.95694,11.0413,5.07765e-05,5.04615,0.0,TET,3717.47
Li2O8Ti4,11.2029,14,164.773,0.254231,767.05,1.94712,31.4972,3.19416e-05,3.50435,0.0,FCC,5012.94
Al4Mg2O8,11.24,14,180.56,0.273144,809.086,1.90248,30.4768,3.18823e-05,3.46739,5.1166,FCC,5830.03
Nb1O3Sr1,11.4654,5,165.949,0.305805,505.937,2.0631,13.3591,3.3561e-05,5.612,0.0,CUB,4050.54
O8Si2Zr2,11.5675,12,239.681,0.301433,714.941,2.01348,27.9819,2.62275e-05,4.98541,4.0416,BCT,4935.83
O8Ti4,11.6067,12,217.216,0.300036,739.079,1.9943,27.5026,2.64842e-05,4.09225,2.8179,ORC,5357.55
O1Zn1,11.632,2,127.424,0.333697,420.86,1.9467,5.62522,5.1497e-05,5.93636,1.6841,FCC,3196.21
O4Rh2,11.6446,6,216.937,0.292882,582.06,2.25783,15.3765,3.32801e-05,6.8307,0.0,TET,4331.18
Al4O8Zn2,11.6634,14,188.451,0.2558,757.013,1.91026,31.7367,3.27407e-05,4.57291,4.4888,FCC,5349.62
O4Ru2,11.7534,6,240.037,0.313798,581.027,2.22537,15.3475,2.98761e-05,6.80223,0.0,ORC,4308.97
Cr2O8V2,11.8175,12,169.826,0.255485,728.78,2.01844,27.7622,3.05419e-05,3.78281,1.8322,ORCC,4185.73
C2Li4O6,11.8313,12,144.84,0.243441,963.896,1.93219,22.9782,4.03523e-05,2.42385,3.7533,HEX,4797.52
Ba1Nb1O3,11.8894,5,161.018,0.279955,487.92,2.12842,13.5006,3.43684e-05,6.51022,0.0,CUB,3985.73
Mo2O4,12.0956,6,218.111,0.315031,572.888,2.14816,15.4018,2.88621e-05,5.90464,0.0,TET,4369.97
O6Sr2Ti2,12.185,10,159.72,0.235032,648.108,2.03896,24.5487,3.41011e-05,4.88243,2.3866,BCT,5114.42
O1U1,12.2363,2,113.812,0.306193,269.044,1.83502,5.90503,4.00941e-05,12.5121,0.0,FCC,2218.55
Ag1Nb1O3,12.2468,5,182.054,0.297461,515.887,2.12024,13.2952,3.30766e-05,6.45335,1.7706,CUB,4067.53
O8Re4,12.2838,12,297.017,0.265361,575.033,2.17979,30.6759,2.375e-05,11.1626,0.0,ORC,4026.43
O3Pb1Ti1,12.3097,5,162.783,0.269944,473.931,2.05993,13.6093,3.68146e-05,7.86753,2.181,CUB,3739.22
Ba1Nb4O6,12.4976,11,196.584,0.248395,579.942,2.04514,28.0621,2.68932e-05,6.77116,0.0,TET,4445.91
Bi4Fe4O12,12.5194,20,182.957,0.313542,491.004,1.42213,53.0247,2.05547e-05,8.31948,1.341,ORC,3143.67
O8P2Sc2,12.7395,12,193.581,0.275425,797.078,2.00226,26.3414,2.79077e-05,3.50882,4.8968,BCT,5161.67
K1Nb1O3,12.7733,5,163.052,0.296983,576.892,2.1048,12.8422,3.38753e-05,4.47347,2.047,ORCC,3837.58
Al4O10Si2,12.8372,16,216.093,0.271903,886.232,1.9362,32.6124,2.60767e-05,3.54175,5.4565,ORCC,6265.43
Mg4O12Si4,12.9046,20,222.634,0.221479,986.825,2.04722,37.3204,2.7518e-05,3.97073,5.4138,ORC,6883.13
Li3O4U1,12.9415,8,138.175,0.218877,584.937,1.88842,20.5229,4.36029e-05,6.11875,3.0831,BCT,3590.01
O3Sn1Ti1,12.9608,5,163.746,0.285751,541.049,2.05623,13.1249,3.56554e-05,5.64874,1.7288,CUB,4325.93
O4Ti2,13.0947,6,192.444,0.331091,647.977,1.98136,14.668,2.82851e-05,3.63372,2.5528,BCT,4640.64
C2O4,13.3189,6,98.8897,0.30703,707.019,1.77028,14.1036,3.44195e-05,1.47602,6.464,TET,1366.42
O1Sr1,13.3637,2,80.097,0.232998,413.131,2.12578,5.6872,5.83316e-05,4.88035,3.2755,FCC,3680.11
O9W3,13.4881,12,199.588,0.23539,600.095,2.1088,30.1848,2.33988e-05,6.19541,0.7586,HEX,4649.6
O4Re2,13.6076,6,274.144,0.294033,516.875,2.23451,15.8855,2.63128e-05,10.7534,0.0,TET,3866.47
O4Si2,13.6454,6,141.055,0.338724,662.904,1.8583,14.4819,2.50972e-05,1.92307,5.3686,FCC,5737.83
Na1O3W1,13.6807,5,196.903,0.292242,531.866,2.10753,13.1599,3.17155e-05,6.97981,0.0,CUB,4144.71
Al8O12,13.7281,20,225.147,0.238396,956.022,1.92314,38.3429,2.5837e-05,3.95526,5.3126,ORC,6661.64
Mn1O1,13.7516,2,138.794,0.310366,499.764,2.15035,5.42456,4.94729e-05,5.11069,0.1755,FCC,3841.43
Ce1O2,13.8996,3,178.377,0.321559,449.91,2.09258,8.23808,3.18829e-05,6.89265,2.4184,FCC,3653.1
Fe1La1O3,13.9237,5,162.396,0.267289,534.101,2.06633,13.1908,3.6708e-05,6.40838,0.5431,CUB,4165.05
Ba1O3Zr1,14.012,5,142.409,0.24418,508.052,2.10688,13.3638,3.50494e-05,5.95313,3.0367,CUB,4284.51
O4Ta2,14.1696,6,244.013,0.300281,491.903,2.05036,16.057,2.52856e-05,9.65966,0.0,TET,3776.45
Ca2O6Ti2,14.4852,10,167.779,0.239333,754.127,2.00344,22.7278,3.13561e-05,3.84548,2.7874,BCT,5720.6
Eu1O3Ti1,14.8487,5,161.556,0.256541,536.048,2.03525,13.1626,3.61321e-05,6.58174,0.7493,CUB,4406.48
O3Sr1Zr1,14.8962,5,146.019,0.257406,547.115,2.05797,13.0669,3.40182e-05,5.09365,3.2164,CUB,4550.11
O2Th1,15.0171,3,167.763,0.307392,380.059,1.99901,8.47007,2.81011e-05,8.86728,4.5404,FCC,3214.84
Hf1O3Sr1,15.1081,5,157.079,0.24633,492.136,2.03861,13.4563,3.36466e-05,7.34344,3.7303,CUB,4032.03
Mg2O6Si2,15.2027,10,219.561,0.268522,883.298,2.01408,20.478,3.02244e-05,3.97015,4.6369,ORCC,5749.19
Ca1O3Zr1,15.2909,5,149.232,0.274925,592.162,2.0278,12.7014,3.26411e-05,4.12971,3.2142,CUB,4876.68
O6W2,15.3918,8,212.967,0.261764,577.104,2.10517,20.4198,2.39649e-05,6.67335,0.7391,TET,4104.21
Nb2O4,15.7693,6,231.909,0.309197,608.003,2.04394,15.0241,2.49301e-05,5.72086,0.0,TET,4678.01
C4O8,15.8106,12,95.4681,0.216386,864.773,1.7556,24.9134,3.01895e-05,1.42749,6.61,CUB,1541.44
Al1Bi1O3,15.9342,5,181.036,0.245881,531.002,2.02741,13.1995,3.69247e-05,8.63886,1.5288,CUB,4012.06
O8Si4,16.0347,12,164.948,0.238966,884.915,1.98702,24.4696,2.5842e-05,2.58341,5.1693,ORCI,3837.7
Cr2O8P2,16.0695,12,191.553,0.217925,875.949,2.09134,24.7097,2.80696e-05,3.75947,1.7989,ORCC,5033.5
Ba1O3Ti1,16.6821,5,152.929,0.227498,578.888,2.1084,12.846,3.60648e-05,5.78831,2.1335,CUB,4701.48
Ca1O2,16.6962,3,94.1889,0.225225,625.799,2.0111,7.57765,5.75258e-05,3.1698,2.7622,BCT,4145.29
Ca2O6Si2,16.9549,10,203.0,0.228838,882.199,2.08098,20.5183,3.02333e-05,4.10812,3.5468,TET,6447.63
Cr1La1O3,16.9784,5,171.651,0.246035,573.939,2.06128,12.8655,3.43833e-05,6.48151,1.7885,CUB,4515.79
O1Yb1,17.4662,2,97.0198,0.180099,363.136,2.00736,5.78979,5.72702e-05,10.756,1.0945,FCC,2846.32
B2O8Ta2,17.4699,12,285.595,0.254041,731.956,1.97342,27.5858,2.36244e-05,7.71043,3.6319,BCT,4930.12
Na1O3Ta1,17.7321,5,184.269,0.257092,569.057,2.05745,12.8689,3.07752e-05,6.55803,2.5032,CUB,4499.54
Li2Nb2O4,17.7999,8,202.54,0.229181,747.139,2.04858,18.2891,3.18635e-05,5.56259,1.6572,HEX,4727.73
Na2O6Ta2,17.8237,10,187.882,0.18157,669.096,2.06688,24.1456,2.91458e-05,6.73116,2.5252,TET,4406.53
O2Pa1,18.0073,3,197.993,0.286166,421.933,2.05892,8.32765,2.92113e-05,10.749,0.0,FCC,3370.52
O8Pa4,18.0263,12,197.987,0.286045,422.059,2.05793,8.32703,2.9195e-05,10.7456,0.0,CUB,3371.11
O1Sc1,18.4002,2,145.014,0.27327,612.049,2.32961,5.08991,4.69406e-05,4.28234,0.0,FCC,4798.6
Na2Nb2O6,18.5039,10,177.94,0.190913,786.834,2.08414,22.1297,2.85539e-05,4.42281,1.8633,TET,5314.11
Cr1O2,19.0136,3,205.253,0.257841,753.31,2.49082,6.90551,4.18171e-05,5.16477,0.0,FCC,5489.95
O4W2,19.1694,6,276.801,0.269699,557.047,2.11099,15.4858,2.35234e-05,10.426,0.0,TET,4211.59
O3Sr1Tc1,19.1747,5,155.055,0.263449,540.984,1.80235,13.0536,3.14047e-05,5.88337,0.1122,CUB,4374.6
Na1Nb1O3,19.219,5,174.188,0.259389,678.807,2.0755,11.9962,3.0701e-05,4.29332,1.8358,CUB,5395.58
K1O3Ta1,19.2577,5,178.57,0.230611,579.873,2.10432,12.7992,3.11762e-05,6.73174,2.3227,CUB,4650.23
O6Re2,19.32,8,249.637,0.227756,647.878,2.1704,19.5407,2.44648e-05,8.21381,0.0,HEX,3969.38
B2Nb2O8,19.3308,12,273.253,0.257305,874.141,1.98096,24.6585,2.21723e-05,5.0852,2.8001,BCT,5890.17
Li2O1,19.3402,3,69.5865,0.160425,862.689,1.84982,6.41937,8.81776e-05,1.97273,4.9039,FCC,6502.41
O4V2,19.367,6,228.429,0.279105,788.761,2.15625,13.2674,2.74527e-05,4.46159,0.7285,TET,5664.84
O3Sr1Ti1,21.4744,5,159.385,0.217688,670.946,2.04082,12.079,3.35492e-05,4.86033,2.29,CUB,5164.65
Ni1O1,21.5038,2,174.022,0.28359,572.08,2.09675,5.18907,4.46022e-05,6.56005,1.7949,FCC,4171.43
Ca1O3Ti1,21.6331,5,164.107,0.249325,733.176,1.99003,11.5432,3.15829e-05,3.74852,2.3664,CUB,5741.31
O3Re1,21.7342,4,225.006,0.273905,567.933,2.16789,10.2703,2.46901e-05,7.08131,0.0,CUB,4564.98
Hf1O2,21.8378,3,244.634,0.301848,483.947,1.98761,8.07004,2.74772e-05,10.6975,3.8049,FCC,3593.82
Al1La1O3,22.272,5,184.401,0.224046,647.861,2.01793,12.2563,3.24568e-05,6.31276,3.1268,CUB,4973.68
O2Zr1,23.9236,3,226.946,0.30933,599.013,2.01372,7.561,2.68396e-05,5.98871,3.1237,FCC,4522.44
O3W1,24.0636,4,220.607,0.269017,576.075,2.11115,10.2118,2.35101e-05,6.7605,0.7294,CUB,4696.55
Ca1O1,24.3778,2,99.5719,0.216153,619.873,2.06248,5.05334,5.00142e-05,3.28516,3.6357,FCC,5188.79
Nb3O3,24.5568,6,232.592,0.24206,637.128,2.02955,14.7294,2.28428e-05,7.05532,0.0,CUB,5046.31
O1V1,25.0924,2,152.36,0.270069,607.913,2.06649,5.06669,4.24677e-05,5.01979,0.5352,FCC,4497.18
Be4O4,28.662,8,187.041,0.22037,1114.27,1.75149,13.206,2.84169e-05,2.8565,7.0887,TET,7532.2
Ca1O3Si1,29.3617,5,203.749,0.21637,905.683,2.07613,10.0434,2.94016e-05,4.11037,3.4645,CUB,6628.32
O10Ta4,39.2307,14,440.158,0.292384,727.941,2.02405,16.0222,1.06514e-05,7.73171,0.4338,ORC,3935.31
Mg1O1,44.6395,2,142.026,0.193802,849.11,1.95457,4.23772,4.06864e-05,3.48027,4.4692,FCC,6360.02
Be2O2,53.2285,4,195.211,0.198299,1181.19,1.75834,6.1664,2.64565e-05,2.96457,7.4494,HEX,7937.86
Be1O1,68.0806,2,226.133,0.244642,1128.26,1.78588,3.25467,2.82532e-05,3.42128,8.183,FCC,7217.39
