compound,agl_thermal_conductivity_300K,natoms,agl_bulk_modulus_static_300K,ael_poisson_ratio,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_thermal_expansion_300K,density,Egap,Bravais_lattice_lattice_type,ael_speed_sound_average
Cd4Nb4O14,2.66189,22,189.458,0.361121,435.886,2.08891,60.9154,3.44397e-05,6.50184,1.9621,FCC,3204.76
Ba4O12Ru4,2.67391,20,139.889,0.307034,418.122,2.26664,56.2886,4.3217e-05,6.59108,0.0,HEX,2952.43
Br2O8Y6,2.68295,16,108.196,0.340542,363.934,1.96517,45.7808,4.00574e-05,4.79677,4.2091,ORCC,3037.46
Bi4O14Pt4,2.68623,22,171.618,0.30718,379.919,2.2626,62.7359,3.88883e-05,10.4695,1.0682,FCC,2992.37
O14Pt4Tl4,2.70535,22,174.635,0.287836,400.865,2.39545,62.4493,4.2807e-05,11.0409,0.8794,FCC,3039.4
Au2O4Sc2,2.75783,8,125.86,0.357762,310.975,2.14139,23.49,4.68233e-05,7.76088,2.2382,HEX,2471.45
Na6O9S2,2.77532,17,87.2151,0.305308,550.148,2.11095,45.2843,6.39326e-05,2.48395,3.0301,FCC,3169.13
Ba4Ce4O12,2.79546,20,114.566,0.302445,374.065,2.08566,57.076,4.00316e-05,6.07561,2.8768,TET,3202.56
As2Hg1O6,2.8438,9,155.297,0.35738,391.014,2.33928,25.7497,4.87477e-05,6.82062,0.7446,HEX,2611.75
Ba3O1Sn1,2.87552,5,34.2582,0.217617,217.971,2.09528,15.3554,7.66078e-05,5.37215,0.0,CUB,2386.43
Ge3O9Sr3,2.89562,15,99.9023,0.313488,417.892,2.10624,42.2892,4.896e-05,4.177,2.9506,HEX,2656.7
O12Sn4Sr4,2.90029,20,122.627,0.276517,451.164,2.2935,55.729,4.98499e-05,5.9135,1.4249,ORC,3709.15
La6O9,2.90735,15,119.82,0.331239,350.005,2.03867,43.1252,3.81513e-05,6.1641,3.4389,MCLC,2856.58
Au2Ga2O4,2.9255,8,145.959,0.339851,332.88,2.32568,23.457,5.14896e-05,9.97958,0.2012,HEX,2539.92
Ag2Co2O4,2.95475,8,153.361,0.364064,374.916,2.22975,23.0311,5.04085e-05,7.25634,1.8904,HEX,2714.4
Cs2O12Te4,2.95947,18,109.219,0.245966,454.923,2.49031,50.3545,5.32122e-05,5.44881,0.0,FCC,3738.19
Cd4O14Sb4,2.9836,22,151.781,0.272074,489.061,2.4621,60.1907,4.69587e-05,6.79017,0.4798,FCC,3818.83
O12Pb4Tc4,2.98668,20,145.971,0.2942,400.134,2.23683,56.6192,4.09588e-05,8.0905,0.0,FCC,3153.99
Cd2Ga4O8,3.00631,14,151.688,0.342291,426.849,2.14527,39.2548,4.58394e-05,6.35358,1.7656,FCC,3245.01
O8Sn4,3.02075,12,161.45,0.339683,421.858,2.32326,33.8171,4.64735e-05,6.98984,0.181,ORC,2390.81
O2Pd2,3.02912,4,151.646,0.387686,312.908,2.38902,11.7979,4.89095e-05,7.80173,0.178,TET,2408.72
Dy4O14V4,3.03527,22,207.71,0.283648,547.997,2.72363,58.1807,4.04488e-05,6.92329,0.8117,FCC,4084.6
Ba6O10Si2,3.05649,18,94.7961,0.267945,393.093,2.08864,51.2997,4.9479e-05,5.52731,3.5267,BCT,2970.58
Ca4Mn4O12,3.07098,20,136.953,0.30091,576.016,2.32855,52.2381,5.21717e-05,4.10294,0.8874,HEX,4074.2
Cd4O8Si2,3.10276,14,154.996,0.341836,432.934,2.16722,39.1009,4.39864e-05,6.1915,1.1565,FCC,3238.14
Ca4O8Pb2,3.10819,14,106.68,0.287493,413.107,2.18196,39.7953,5.55944e-05,5.83151,1.4857,ORC,3271.71
O6Pt3Zn1,3.12374,10,201.563,0.360084,357.908,2.29863,28.7814,3.9253e-05,10.7992,0.5419,ORCC,2560.9
K4O12Sb4,3.13029,20,111.152,0.236166,522.796,2.5024,54.1402,5.52652e-05,4.62869,1.1259,FCC,4357.09
Cu2O4Y2,3.18158,8,112.793,0.360836,357.993,2.05372,23.049,4.55094e-05,4.87204,2.7617,HEX,2971.03
O8Sn2Zn4,3.18772,14,144.009,0.33539,427.04,2.07626,39.2536,4.74927e-05,6.36958,0.6598,FCC,3184.65
Mn4O12Sr4,3.19101,20,127.25,0.258141,541.703,2.42337,53.5193,5.63368e-05,5.14059,0.7974,HEX,3968.94
La10O3Si8,3.21651,21,78.6931,0.244807,340.911,1.93837,60.6177,4.11661e-05,5.53578,0.0,HEX,3249.21
Na2O4,3.22926,6,53.4814,0.301094,460.793,2.03472,17.1688,0.000104855,2.19611,0.0,ORC,2853.37
Hf4O28V8,3.23817,40,129.617,0.299749,515.989,1.9517,105.973,3.02058e-05,3.60511,2.6438,CUB,3462.26
O12Rh4Tb4,3.24417,20,190.197,0.327532,427.943,2.15589,55.6892,3.63825e-05,8.66614,1.7439,ORC,3170.5
Ba2O2,3.25459,4,63.0082,0.313733,257.035,2.10698,12.0699,6.45754e-05,5.9412,2.3603,HEX,2395.79
Ba2Bi2O6,3.25923,10,100.847,0.28029,337.016,2.26506,29.2553,5.20501e-05,7.58207,0.0,FCC,2959.07
Fe4O11Sr4,3.26311,19,125.799,0.276002,508.216,2.27327,51.5294,5.26538e-05,5.17095,0.0,ORCC,3998.11
O2Pt2,3.28977,4,182.58,0.382775,268.068,2.3898,11.8866,4.0391e-05,13.2145,0.1971,TET,2070.68
La4O4Se3,3.2937,11,89.4966,0.303311,312.947,2.03778,32.1175,4.1542e-05,5.88827,1.4444,ORCC,2624.0
Bi4Ir4O14,3.29991,22,185.714,0.300895,401.036,2.20015,61.9947,3.55691e-05,10.7112,0.0,FCC,3056.42
Ce4O12Sr4,3.31914,20,122.161,0.298897,417.876,2.05806,55.9793,3.91637e-05,5.55621,2.9297,ORC,3415.98
Ge4O24Se8,3.33296,36,121.719,0.227098,589.136,2.21321,92.6766,4.58741e-05,4.34946,2.7302,CUB,3083.66
Mn4O10Sr4,3.34065,18,115.114,0.264321,498.828,2.27568,49.1569,5.54163e-05,5.07482,0.1202,ORC,3831.46
Bi4Ga4O12,3.34915,20,130.857,0.281466,406.865,2.0925,56.4021,4.28011e-05,7.54535,1.9081,ORC,2639.56
Ga2Gd6O12,3.39673,20,141.697,0.30725,399.114,1.99538,56.3692,3.82567e-05,7.46209,3.5087,ORCC,3062.22
Co2K2O4,3.41067,8,87.1187,0.324819,418.834,2.08644,22.7412,6.2527e-05,3.62988,1.0851,TET,2905.17
Ga2O12Tb6,3.42866,20,149.331,0.307693,405.045,2.02501,56.2311,3.79853e-05,7.77089,3.6365,ORCC,3086.91
La4O14Sn4,3.44255,22,141.129,0.282543,454.023,2.20506,60.688,3.93351e-05,6.30751,2.0853,FCC,3767.26
Mg6O6,3.47269,12,88.8306,0.343819,502.877,1.88942,32.4177,5.22601e-05,2.2404,2.8856,CUB,4178.66
Dy6Ga2O12,3.51157,20,151.51,0.305736,406.068,2.02025,56.2082,3.79395e-05,8.01849,3.6261,ORCC,3062.16
Bi2O2Se1,3.51302,5,96.5786,0.331572,251.067,2.09493,14.9318,4.64526e-05,9.18333,0.4046,BCT,1958.38
Ca4O12Rh4,3.53915,20,159.993,0.305769,529.806,2.22486,53.1771,4.28294e-05,5.39781,0.2367,ORC,3994.37
Ba1Cu3O4,3.57166,8,96.7633,0.287911,431.178,2.57834,22.9837,7.01488e-05,5.26864,0.6706,ORCC,2984.71
Cl1K1O4,3.59182,6,62.9328,0.310923,455.044,2.20449,16.9362,7.28292e-05,2.08571,5.1425,FCC,1913.44
Co2O8Rh4,3.59214,14,187.069,0.344338,457.908,2.20839,38.5155,3.8544e-05,6.77222,1.928,FCC,3318.04
Ga2Ho6O12,3.59613,20,153.666,0.303375,407.917,2.01757,56.1451,3.78392e-05,8.22984,3.5973,ORCC,3056.08
O8Pd4Y2,3.61057,14,170.138,0.325319,445.854,2.25132,38.8393,4.1081e-05,7.0988,0.0,BCT,3207.42
Cu3O5Sr2,3.63613,10,103.109,0.281097,434.817,2.27474,28.3361,6.25124e-05,5.45089,0.0,ORCC,3373.23
Gd4O14Zr4,3.66031,22,171.093,0.328497,436.106,1.96407,60.7452,3.25078e-05,6.88743,0.1483,FCC,3454.95
Cl1O4Rb1,3.66355,6,59.1908,0.286734,414.035,2.21047,17.2828,7.46102e-05,2.61862,5.2205,FCC,1745.97
Mn4O14Sb4,3.67755,22,156.427,0.26177,561.883,2.43259,57.7071,4.4881e-05,5.67964,0.0,FCC,4300.34
La1O3Ti1,3.68015,5,158.455,0.378685,374.046,2.30328,14.3526,4.42529e-05,6.08968,0.0,CUB,3047.75
La4O12Y4,3.70853,20,132.302,0.300216,429.92,2.02115,55.5736,3.67016e-05,5.78322,4.5627,ORC,3550.18
Bi2O8V2,3.72026,12,142.569,0.347627,386.0,1.99515,33.9657,3.64413e-05,6.02418,2.7616,BCT,2733.38
O4S1Sr1,3.73259,6,102.04,0.369511,402.943,2.03149,17.0107,4.92425e-05,3.24891,3.9262,FCC,2284.17
Li4O8Rh4,3.73499,16,171.653,0.316524,536.08,2.22206,42.5278,4.73246e-05,5.94794,2.3816,FCC,3230.0
Er6Ga2O12,3.74371,20,155.895,0.300327,411.057,2.0061,56.0507,3.75446e-05,8.4373,3.5672,ORCC,3062.42
Mg2O8Rh4,3.77398,14,182.78,0.342176,482.016,2.20242,38.0571,3.86828e-05,6.02846,2.1913,FCC,3449.92
Na4O12Sb4,3.77467,20,121.915,0.231539,567.262,2.44706,52.5652,5.12428e-05,4.57789,1.4776,FCC,4399.78
O1Pb1Sr3,3.77771,5,38.4608,0.182157,254.024,2.10503,15.259,8.08315e-05,5.68641,0.0,CUB,2637.54
Cd1O6Pt3,3.78171,10,192.442,0.332102,377.132,2.3447,28.5854,3.94568e-05,10.8692,0.5795,ORCC,2852.45
Bi4Cr4O12,3.78178,20,166.366,0.296333,441.124,2.10001,55.4295,3.9244e-05,8.41289,1.5496,ORC,3346.41
Ba1O3Pa1,3.79553,5,110.168,0.376,254.056,1.82809,14.7831,3.67902e-05,7.56406,0.0,CUB,2196.42
O12Rh4U2,3.82191,18,204.459,0.338285,439.038,2.12026,49.6866,3.16671e-05,8.03756,1.4152,TET,3222.26
La2O3,3.83825,5,88.267,0.352649,293.963,2.06919,14.6761,3.9689e-05,4.59725,1.6,HEX,2805.04
O28P8Zr4,3.84663,40,158.117,0.314294,647.984,2.01705,97.7726,2.72127e-05,2.81595,4.4684,CUB,4838.03
Co4O14Sb4,3.85683,22,164.945,0.267117,561.802,2.38557,57.5756,4.31175e-05,5.98438,0.9008,FCC,4126.02
O1Pb1Yb3,3.88396,5,47.2028,0.172938,224.922,2.0748,15.3422,7.88235e-05,10.542,0.0,CUB,2197.97
Bi4O14Ti4,3.89553,22,168.143,0.307087,453.08,2.03077,60.3948,3.47288e-05,7.23387,2.8929,FCC,3517.43
O2Pb2,3.91442,4,64.6239,0.2789,239.04,2.09353,12.0913,6.02925e-05,8.32366,1.6215,TET,1235.5
As4O12Sr2,3.96712,18,141.144,0.281675,546.954,2.28067,47.5068,4.46925e-05,4.73947,3.2419,HEX,3772.92
O1Sn1Yb3,3.976,5,50.7189,0.203059,233.047,2.02618,15.2313,7.24494e-05,9.43152,0.0,CUB,2397.18
Gd4O14Sn4,4.03794,22,152.748,0.271976,464.846,2.14732,60.2585,3.80546e-05,7.23794,2.1547,FCC,3733.35
Ba6O18Ti6,4.05023,30,144.107,0.256314,531.105,2.08153,79.2685,3.74522e-05,5.5749,2.1853,HEX,4140.8
Ca4O12Ru4,4.07978,20,166.307,0.30482,543.934,2.15204,52.5795,3.9249e-05,5.31536,0.0,ORC,4130.04
O8Rh4Zn2,4.08247,14,190.67,0.331021,476.918,2.21472,38.1606,3.84124e-05,7.06112,2.0292,FCC,3377.56
Dy4Li4O8,4.09064,16,123.195,0.28225,437.913,1.96825,44.5625,4.78268e-05,6.59218,4.5771,ORC,3367.34
