Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Ca2O8Tl4,7,108.913,8.43032,41.7387,307.898,2.36614,0.046,0.33022,6.17E-05,14,2444.14,1.58178
O4S2Sc4,4,135.545,3.57596,25.4568,588.944,1.92838,2.4796,0.287654,3.45E-05,10,4716.89,9.06028
O2Zr6,4,135.151,6.60304,22.6077,375.026,1.82978,0,0.313311,2.89E-05,8,3198.57,7.73648
Ca2O6Pt2,7,170.471,7.95575,27.4696,468.161,2.25328,1.6237,0.292502,4.21E-05,10,3280.16,5.58614
O8Pd4Y2,1,170.138,7.0988,38.8393,445.854,2.25132,0,0.325319,4.11E-05,14,3207.42,3.61057
La4O4Se3,7,89.4966,5.88827,32.1175,312.947,2.03778,1.4444,0.303311,4.15E-05,11,2624,3.2937
Hf4O12Sr4,7,159.68,7.50283,54.2185,477.945,2.0481,3.9614,0.260425,3.41E-05,20,3803.14,5.40067
Au1K3O1,2,15.8197,3.64094,16.7494,183.242,2.1008,0.6417,0.23931,0.000202359,5,1966.15,0.987767
Ag5O6Pb2,4,82.1727,8.32514,40.4582,193.109,2.40299,0,0.404837,7.78E-05,13,1469.84,0.452188
Gd4O14Ti4,3,178.949,6.3214,56.8863,560.876,1.97634,3.2737,0.268256,3.13E-05,22,4324.49,6.45483
Ba1O3Pa1,2,110.168,7.56406,14.7831,254.056,1.82809,0,0.376,3.68E-05,5,2196.42,3.79553
O14Sn4Y4,3,155.791,5.87171,58.401,523.879,2.1438,2.2481,0.272322,3.68E-05,22,4178.82,4.5744
Ba1O3Pb1,2,52.1884,6.39138,16.0339,185.98,2.52383,0,0.386831,0.000108476,5,1691.23,0.724576
Mg3Nb6O11,4,199.139,5.50567,50.3981,601.929,2.01958,0.489,0.291573,2.87E-05,20,4386.6,6.82779
Ce2O8Si2,1,180.507,4.91079,31.4108,540.919,2.05868,2.0285,0.324046,3.12E-05,12,3940.8,6.57371
Bi4Ir4O14,3,185.714,10.7112,61.9947,401.036,2.20015,0,0.300895,3.56E-05,22,3056.42,3.29991
Ag4Mo2O8,3,121.46,5.88821,41.0399,314.974,2.1339,2.7337,0.380903,4.66E-05,14,1837.63,1.5752
Nb8O24Zn4,6,213.379,5.5622,90.2161,609.891,2.01526,3.6269,0.304381,2.81E-05,36,3771.16,4.53052
O8Ru4,2,263.141,7.4995,29.287,654.835,2.26257,0,0.280001,2.91E-05,12,4699.48,9.89981
Mg1O6Pt3,7,197.113,10.1427,28.1801,408.933,2.28788,0.6517,0.326233,3.88E-05,10,2960,4.45721
O8Pd6Tl2,3,128.174,8.39729,47.7456,286.022,2.39948,1.8477,0.372854,5.29E-05,16,2326.72,1.12873
Na2O8Pd6,2,146.72,7.09096,46.1321,378.882,2.3303,0,0.35398,5.25E-05,16,2918.17,1.81151
Cr4O12W2,9,227.346,6.48988,44.4131,635.061,2.08488,1.1356,0.278465,2.83E-05,18,4415.16,8.187
Mn4O12Sr4,4,127.25,5.14059,53.5193,541.703,2.42337,0.7974,0.258141,5.63E-05,20,3968.94,3.19101
